search_name,uuid,occurrenceid,catalognumber,family,genus,scientificname,country,stateprovince,geopoint.lon,geopoint.lat,datecollected,collector,recordset,year
Aparatrigona impunctata,35783cdd-e38a-438a-898a-32028c9b5876,f9c1a461-ef69-49ff-a3cc-229fd11a1e15,inpa-hym 006043,apidae,paratrigona,aparatrigona impunctata,brasil,amazonas,NA,NA,NA,"gondim, c.",00038086-3303-4b89-b2d6-1b84e7598f0e,NA
Aparatrigona impunctata,3592bbcc-6fef-4f43-9389-c2e36cbc9ab3,e36df251-ca87-431e-b672-018c23297440,1370426,apidae,paratrigona,aparatrigona impunctata,french guiana,NA,NA,NA,NA,michener & kukuk,568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,36e1c00d-6f74-4f69-80d6-443532660ff8,c71e6b24-5655-4f7a-909d-8d5bf31a44c4,1370405,apidae,paratrigona,aparatrigona impunctata,french guiana,NA,-52.71416,5.2139,NA,"michener, charles",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,37d92b30-dab1-40d8-a822-274a0aa59162,17714e57-1ed6-11e3-bfac-90b11c41863e,556440,apidae,paratrigona,aparatrigona impunctata,guyana,region 10,-58.215,6.4933333,NA,"brooks, r & falin, z",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,410c3e65-feb0-4e66-bb39-90c4f7d3dd95,d059743f-36ee-4768-a970-3fa1079a56da,1370427,apidae,paratrigona,aparatrigona impunctata,french guiana,NA,NA,NA,NA,michener & kukuk,568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,4197ec06-4d8b-4528-9800-d75a755c9c80,373a4783-1ed6-11e3-bfac-90b11c41863e,556438,apidae,paratrigona,aparatrigona impunctata,guyana,region 10,-58.215,6.4933333,NA,"brooks, r & falin, z",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,43fa3619-ea57-47fe-a3e7-c7055f34ba1d,43d3c67b-fe40-4fb5-9e4c-cade79505983,1370449,apidae,paratrigona,aparatrigona impunctata,ecuador,sucumbios,-76.4597222,-0.4705556,NA,"hibbs, p",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,447a7bb2-7a39-4840-bc5c-f365bcf8c920,3b00b6bf-1ed6-11e3-bfac-90b11c41863e,556454,apidae,paratrigona,aparatrigona impunctata,guyana,region 10,-58.215,6.4933333,NA,"brooks, r & falin, z",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,45308d81-e15c-4b11-8b61-78b8cb850f5e,3d43eae8-1ed6-11e3-bfac-90b11c41863e,556442,apidae,paratrigona,aparatrigona impunctata,guyana,region 10,-58.215,6.4933333,NA,"brooks, r & falin, z",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,46084d83-e416-4cac-8f1b-4dec5b49bf21,820a319c-82e1-4c3d-9740-ded086b5b801,1370453,apidae,paratrigona,aparatrigona impunctata,ecuador,sucumbios,-76.4597222,-0.4705556,NA,"hibbs, p",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,465b2991-a631-4e1b-b8e6-04a31b254720,c984f974-57e0-43c6-b524-34b58f90861c,1370439,apidae,paratrigona,aparatrigona impunctata,ecuador,sucumbios,-76.4597222,-0.4705556,NA,"hibbs, p",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,46c22b2b-4a76-480d-a156-be56b792b2d6,8382b3df-40e2-4472-baab-bdebaef13e01,1370446,apidae,paratrigona,aparatrigona impunctata,ecuador,sucumbios,-76.4597222,-0.4705556,NA,"hibbs, p",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,46c7e525-002f-41f1-9fb8-6f490dddf9ac,e281606d-a71b-446f-9329-6282e3d3c261,1370476,apidae,paratrigona,aparatrigona impunctata,brazil,para,NA,NA,NA,"alvarenga, moacir",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,48472b6f-191d-413c-9197-4ad4e62a452c,1cdda691-1ed6-11e3-bfac-90b11c41863e,556455,apidae,paratrigona,aparatrigona impunctata,guyana,region 10,-58.215,6.4933333,NA,"brooks, r & falin, z",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,48ba5514-d72c-450b-a431-ac82a20da1e2,86e0173e-f4e6-42b8-acf8-d7d89fe6f449,1370483,apidae,paratrigona,aparatrigona impunctata,brazil,rondonia,-62.7828056,-11.1766389,NA,"brown, boina, vieira",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,4afaa3d1-3301-47db-b340-8a3bb8e78084,389d5594-ca7b-415c-b442-6f6be430b5b8,1370411,apidae,paratrigona,aparatrigona impunctata,french guiana,NA,-52.71416,5.2139,NA,"michener, charles",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,4b97fafe-4e0b-42e2-ae05-e5676d3fff41,c5b6527d-682a-485e-8eb4-425b091e89d3,1370393,apidae,paratrigona,aparatrigona impunctata,french guiana,NA,-52.71416,5.2139,NA,"michener, charles",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,4bfad929-c922-49b8-afa2-7e6242f98e42,3f84e232-1e4e-41f9-98bd-749d7dd21937,inpa-hym 006028,apidae,paratrigona,aparatrigona impunctata,brasil,roraima,NA,NA,NA,"rafael, josé; aquino, luís; bindá, josé",00038086-3303-4b89-b2d6-1b84e7598f0e,NA
Aparatrigona impunctata,4c8a9bc5-c891-49f9-abef-00e74d69e658,ce61713a-be49-446f-b37a-a68c8cc5f003,1370466,apidae,paratrigona,aparatrigona impunctata,brazil,amapa,-51.83333,3.83333,NA,"alvarenga, moacir",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,4d319255-3a8b-4e4c-b468-1afcfe591888,59150f3a-b4fd-4b6f-a6d4-dec410311c0b,1370471,apidae,paratrigona,aparatrigona impunctata,brazil,amapa,-51.83333,3.83333,NA,"alvarenga, moacir",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,4ea6c3c7-ef15-4498-8164-0e7b14c3b9d7,74ee2730-85f0-40df-a1d8-7dededd29eb6,1370447,apidae,paratrigona,aparatrigona impunctata,ecuador,sucumbios,-76.4597222,-0.4705556,NA,"hibbs, p",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,500d79a4-5514-4297-b102-6b8fba4d76fb,ad7a4176-b21c-4e33-b74a-d71dd64032ca,1370473,apidae,paratrigona,aparatrigona impunctata,brazil,para,NA,NA,NA,"alvarenga, moacir",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,50eab556-a29d-4bbb-a9e0-af073915e101,aa28f2dd-0b1b-46be-be1b-eb837c8cee28,1370399,apidae,paratrigona,aparatrigona impunctata,french guiana,NA,-52.71416,5.2139,NA,"michener, charles",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,527428fd-5562-4e73-88c9-8666cf2f63c8,4f91d0be-1215-40d9-8bbb-8bf288d9a0fa,1370451,apidae,paratrigona,aparatrigona impunctata,ecuador,sucumbios,-76.4597222,-0.4705556,NA,"hibbs, p",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,5284ff6c-a05e-4ddb-b95b-b2961b144313,cfcd3bf3-fd74-46ac-8a27-30a2eccf41d6,inpa-hym 006033,apidae,paratrigona,aparatrigona impunctata,brasil,amazonas,NA,NA,NA,"fernandez, e.",00038086-3303-4b89-b2d6-1b84e7598f0e,NA
Aparatrigona impunctata,56afe400-2e6d-4f6f-82e1-f7624a6db6e6,e856eba2-e088-4875-a0de-8f6883bae0c1,1370457,apidae,paratrigona,aparatrigona impunctata,peru,madre de dios,-69.02298,-12.53714,NA,"coloma, luis",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,59b0ee1c-802b-473b-80a4-301d8abb77c2,4094f930-1ed6-11e3-bfac-90b11c41863e,556432,apidae,paratrigona,aparatrigona impunctata,guyana,region 10,-58.215,6.4933333,NA,"brooks, r & falin, z",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,5a8d6368-62a4-4816-aa1b-116b34347dfb,20f7d1a1-1ed6-11e3-bfac-90b11c41863e,556449,apidae,paratrigona,aparatrigona impunctata,guyana,region 10,-58.215,6.4933333,NA,"brooks, r & falin, z",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,5d6e51fe-1466-4b82-912c-01601b9b1d24,7dc80bc1-99b1-4770-b064-0bc070acc7f9,1370468,apidae,paratrigona,aparatrigona impunctata,brazil,amapa,-51.83333,3.83333,NA,"alvarenga, moacir",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,5e328917-bd7b-497a-ae52-a32b05df6f82,3d62725c-a3e2-47d1-bed9-4b13cc753f4f,1370481,apidae,paratrigona,aparatrigona impunctata,brazil,mato grosso,-59.8,-12.75,NA,"alvarenga, moacir",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,5ff14949-5f67-4029-a4b7-2fe021705545,af5b71ba-852f-4c5a-963a-1b0f1c663c6d,inpa-hym 006018,apidae,paratrigona,aparatrigona impunctata,brasil,amazonas,NA,NA,NA,"rafael, josé",00038086-3303-4b89-b2d6-1b84e7598f0e,NA
