database_id,searchName,scientificName,decimalLatitude,decimalLongitude,occurrenceID,basisOfRecord,verbatimEventDate,year,country,stateProvince,locality,identifiedBy,coordinateUncertaintyInMeters,recordedBy
GBIF_57,1,"Aparatrigona impunctata (Ducke, 1916)",-0.470556,-76.459722,1092733525,PRESERVED_SPECIMEN,1994-03-04T00:00:00Z,1994,Ecuador,Sucumbios,Sacha Lodge,Camargo,NA,"Hibbs, P"
GBIF_58,1,"Aparatrigona impunctata (Ducke, 1916)",-0.470556,-76.459722,1092733540,PRESERVED_SPECIMEN,1994-03-04T00:00:00Z,1994,Ecuador,Sucumbios,Sacha Lodge,Camargo,NA,"Hibbs, P"
GBIF_59,1,"Aparatrigona impunctata (Ducke, 1916)",-0.470556,-76.459722,1092733541,PRESERVED_SPECIMEN,1994-03-04T00:00:00Z,1994,Ecuador,Sucumbios,Sacha Lodge,Camargo,NA,"Hibbs, P"
GBIF_60,1,"Aparatrigona impunctata (Ducke, 1916)",-0.470556,-76.459722,1092733520,PRESERVED_SPECIMEN,1994-03-04T00:00:00Z,1994,Ecuador,Sucumbios,Sacha Lodge,Camargo,NA,"Hibbs, P"
GBIF_61,1,"Aparatrigona impunctata (Ducke, 1916)",-12.53714,-69.02298,1092733537,PRESERVED_SPECIMEN,1990-02-22T00:00:00Z,1990,Peru,Madre de Dios,"Puerto Maldonado, 15 km NE",Camargo,500,"Coloma, Luis"
GBIF_62,1,"Aparatrigona impunctata (Ducke, 1916)",-3.066667,-59.983333,1065778640,PRESERVED_SPECIMEN,1989-09-23T00:00:00Z,1989,Brazil,Amazonas,NÃO INFORMADO,NA,NA,Renner
GBIF_63,1,"Aparatrigona impunctata (Ducke, 1916)",3.4,-61.7,1065778635,PRESERVED_SPECIMEN,1987-11-21T00:00:00Z,1987,Brazil,Roraima,"Rio Uraricoera, Ilha de Maracá",NA,NA,"Rafael, José; et al."
GBIF_64,1,"Aparatrigona impunctata (Ducke, 1916)",-3.066667,-59.983333,1065778668,PRESERVED_SPECIMEN,1981-06-18T00:00:00Z,1981,Brazil,Amazonas,NÃO INFORMADO,NA,NA,Renner
GBIF_65,1,"Aparatrigona impunctata (Ducke, 1916)",-3.066667,-59.983333,1065778662,PRESERVED_SPECIMEN,1981-11-05T00:00:00Z,1981,Brazil,Amazonas,NÃO INFORMADO,NA,NA,Renner
GBIF_66,1,"Aparatrigona impunctata (Ducke, 1916)",-3.066667,-59.983333,1065778655,PRESERVED_SPECIMEN,1980-11-10T00:00:00Z,1980,Brazil,Amazonas,NÃO INFORMADO,NA,NA,Renner
GBIF_67,1,"Aparatrigona impunctata (Ducke, 1916)",-3.066667,-59.983333,1065778647,PRESERVED_SPECIMEN,1980-11-08T00:00:00Z,1980,Brazil,Amazonas,NÃO INFORMADO,NA,NA,Renner
GBIF_68,1,"Aparatrigona impunctata (Ducke, 1916)",4.50857,-52.33333,1092733559,PRESERVED_SPECIMEN,1977-02-23T00:00:00Z,1977,French Guiana,NA,"Cayenne, 47 km S",Camargo,9444,"Michener, Winston & Otis"
GBIF_69,1,"Aparatrigona impunctata (Ducke, 1916)",5.2139,-52.71416,1092733478,PRESERVED_SPECIMEN,1977-03-02T00:00:00Z,1977,French Guiana,NA,"Kourou, 10 km NW",Camargo,NA,"Michener, Charles"
GBIF_70,1,"Aparatrigona impunctata (Ducke, 1916)",5.2139,-52.71416,1092733475,PRESERVED_SPECIMEN,1977-03-02T00:00:00Z,1977,French Guiana,NA,"Kourou, 10 km NW",Camargo,NA,"Michener, Charles"
GBIF_71,1,"Aparatrigona impunctata (Ducke, 1916)",5.2139,-52.71416,1092733476,PRESERVED_SPECIMEN,1977-03-02T00:00:00Z,1977,French Guiana,NA,"Kourou, 10 km NW",Camargo,NA,"Michener, Charles"
GBIF_72,1,"Aparatrigona impunctata (Ducke, 1916)",5.2139,-52.71416,1092733497,PRESERVED_SPECIMEN,1977-03-02T00:00:00Z,1977,French Guiana,NA,"Kourou, 10 km NW",Camargo,NA,"Michener, Charles"
GBIF_73,1,"Aparatrigona impunctata (Ducke, 1916)",5.2139,-52.71416,1092733503,PRESERVED_SPECIMEN,1977-03-02T00:00:00Z,1977,French Guiana,NA,"Kourou, 10 km NW",Camargo,NA,"Michener, Charles"
GBIF_74,1,"Aparatrigona impunctata (Ducke, 1916)",5.2139,-52.71416,1092733449,PRESERVED_SPECIMEN,1977-03-02T00:00:00Z,1977,French Guiana,NA,"Kourou, 10 km NW",Camargo,NA,"Michener, Charles"
GBIF_75,1,"Aparatrigona impunctata (Ducke, 1916)",5.2139,-52.71416,1092733512,PRESERVED_SPECIMEN,1977-03-02T00:00:00Z,1977,French Guiana,NA,"Kourou, 10 km NW",Camargo,NA,"Michener, Charles"
